2021-10-25 12:23:56
['72g63BT68co4kvjXmkqttYoTseWnzUsXfAJTDfaxCeXb', 2.0]
['CZCrn2BTPWuHpW1vsr87RzxsvvGfcutabZoMtBo4dWkM', 1.0999999999999999]
['3t2YquFCXREcYLWPqZib4jjChEKuEAMHXFVU2mFesE6R', 1.0]
['6mjnVdCwz3dJpgC4nEDAKhuQ6WaPgAGm6qqk6qXNkEm5', 1.0]
['EKpDZhiDBw6M6kf13FEts43N1P8nPKuEWSwqQKHucMCA', 1.0]
['CfJWmkuePWXVEGyKadystWM8F5DrLC6gkPmEiLHHViwD', 1.0]
['2BmPsvzM78aUkdqd682APP8oZ9YGR5T57LdJc3uQKjms', 1.0]
['BYuEpFFSVurrtnaY8spUgWqxzpeXrbAeWL7PuwNm1Qh3', 1.0]
['FaPGefVs7RDHvdgXLVKg3NxLwasfRyhLsWjAgohK9a51', 1.0]
['3EAnwAx7spR2pqtwYiqjZhE9z17tpiEJMcMbLYVck4nT', 0.5]
['AgTx8x42LuDeADkJLYGMkp6u4p4wj8D8XHdNXwrFKS4B', 0.3]
