2021-10-27 13:08:18
Voted address: 17077
Top No.20 voter voted USDC: 30.0
Add up USDC: 29194.170882999708
['8piBXWeDQqbnDdUQTp4jiBDZbaHZXpXHVGiskFJJus89', 374.0]
['EammrPFvVtzTCMQEdL9gGw6wkhcZy9UuX7wJAZ7h6QsS', 203.0]
['7Qq7B6BWC8SFzdgiB7w44mjAhTYMHdgHauHXscHn3sEV', 101.0]
['Ge2f2CvYKb7CtCdiB6cH9J3VdRQ4j2hnwx9FuoQXj4si', 100.0]
['6VsT5SVqBafcFHBkLQQV8Zd3AZ9f1krpQ1nC48UJSzoS', 100.0]
['AcWwySo8rjskp2mVXDSVffSKE7rKwPgQkrheb9vQzFWC', 100.0]
['HkUVkk7Z4sBhC4x25r7y9Y8U5ZaijyfS4SRWYfLVnAGL', 95.0]
['3v1S5vw9T3sNMENcrRqsohBzMKdYsjb3bSWYQ5mNBc1n', 88.0]
['33GGodC7YHX5hkujd4NcgzcD5zutP184ERBKhUipU5B9', 58.0]
['2xdp8QmX7BvFvhXXZki6tXbUuCi2ZcKGgGKbpkDXdgWU', 51.0]
['6ya8FCHNaxKbZWnpHRYSNg1JAqDMRURipiCo9ghWup3M', 50.0]
['4fLNgsJEpyanzFy68JkXG5HTMzEg8wscLLyCFwUa9Wgu', 50.0]
['36aqcpi8FbkNEP5qMpjALHsdC4UpEwdF7D7Uxp2WZxKX', 46.0]
['DcLSgfMA3KLxe9H4RcBmzbNdTHHcwh3rNaCwYkU77Gv6', 35.0]
['BXQzN5o2JdhZDbdSipGyo4hCSS2thhLLDLNyHsEK8CxX', 32.1824]
['GeoY6VLhmrJhMgY5wLCoAmPWr3F94dSYD9G8jbnjz6UC', 32.0]
['aCPBYDsB8WUv1pZxbXCziRSEEHNNJhexi8RPKyZthZh', 30.0]
['HcqTUrM8yYXaYh8tzAZkqvkjYTVbGyWaat3LWMZBRXkp', 30.0]
['3DbVceA2eSuoZn2fjvWstqjd3o8piEeqvFuNcddDtG4G', 30.0]
['FmPkASPzybdLZBsdrqTmT8k7v5BpXWERE9Hhazv1hktX', 30.0]
['8Q5hEb1r2TzzGrr3rTrgSi7QWdjcon7fogbonGARJRmK', 30.0]
['8CwxFC2p7btuDzxPgqWGpE9gPt2Amzgw88Qzhvd2RpNA', 30.0]
['6NjecsJx31U7jGV9PVuNx6CviqjCgtM8BUBuLMDj5GkY', 30.0]
['49gfuXgf75q1V6CwSmSEbo1qQwkd5GEofxqSvdk9oXUg', 30.0]
['3n4v7kjpLMuX4y2ELrtGJoWF6ikRDY5eHQtqukFGp8rm', 29.0]
['Gbf9f3h1RrXcDiVNxwnRDvK6yeTB2UXNnmb7eyJ3yzaV', 28.0]
['DPjxDY4Tr9BuhWUJgjL2h4p2r7uYboJh6tuvbatL3jTG', 27.5]
['BFpdtZHt1HkX1Fc4cJ5AdQ4ST6ynKDoHCBoYqAoJscPP', 25.0]
['2jMkdC5svCfDXuxpegN7sPvkKE8Bnifur7DAFpW6X4p1', 25.0]
['57Yg1Mx6K98kkf6ZMs7nGiCZKbd4nb2u54oRpN7WaFGT', 25.0]
['Bwo9XmHFJMSk98wDpyukiTV58TqatUz2E1Lv4oX1rXTC', 25.0]
['GXyQjTfnd4vB7Fk9qxKLLwDN1j25PJwKYUu92ExGHacq', 25.0]
['3wWAXXwA3GwX877Ww3X8hSWyDRd8u9XNhDwGTV94FGio', 25.0]
['FSvxGz6fDpkgYfnFEMkxEa4LGcjW5WphSWjpkjjF8Cbc', 25.0]
['2b7Ba7k226qUYLhc8YeY4n9dbcJQo7WStipTyRBtMWvj', 24.0]
['GVA4jaHJLB25Ppjzk1XKgEt4yMoZ89vhV8tAjLnTQSU5', 24.0]
['2wXEk9AB1oe3BdxEA9D7Jc6ggzaFJwAzuFNwkVZZSg6t', 24.0]
['DEnJ97odm7sQ5ZcY8gJ9zXDzscQXrXBnei3qmZXMJjNe', 23.0]
['3WZaABUoiSariR5Nsqyb3PfKQMLkmvwSUt4xvJxmPWzL', 22.5]
['BCFFDZt4YYxGvP6axu4XwJEQ7k8KZZPgL8S7EoqjrpnJ', 22.0]
