2022-02-15 12:48:32
['8Mw9MYkZ3oJm6TgjqKBUnq9H8J1SyT5mVTBuVA544JCc', 20.0]
['5xctv78Vt5K2FyWfgGyWstLKCmdDCvDdhV8NehCeSd9h', 11.0]
['FRQ9Gj7ieqXhaWUGAgxryY53qBjXyzAqUfCCDhy9B6xc', 10.0]
['C1P9sxD3yN6CvP3LexnHvXbAxcaTqgooviJTMhSr6Avt', 9.0]
['6hiifiANJe3CLcvBYfEVVa97E48V2wKneSVXJbVdELav', 5.0]
['7shFXyCrYru6mmLqGADDQ3SENupn6MJZaf6jUuENsCqu', 5.0]
['DRyw6s1DZJRcSxHmWuvGbADcYYTLcmDMoSLkBoXwKpDk', 5.0]
['HaW1Mn3RndJTduDPJUULGui3WPkBsmHaDmvumfqZGExc', 5.0]
['51kzZdNYdvNccQcPyvQZL8jqPghj9yXjvQbGgxsCd8cP', 5.0]
['78eGt2PysGwU5ce7D6UHYDvqSg2YD3e5Yqtrh6vTW7aw', 5.0]
['6EQoJ3vLnfSmRnEuMCjE9cJKz9S7bB2UqHtbJWQBcqox', 5.0]
['KrissMPQgGFjNJMi1j4MJ9aeuD1REhFgFhJVRDUoKGR', 5.0]
['FeEmMVEjVirG9JWkiaNdCuwDGUVReUZQeyhF73tyTLoF', 4.0]
['ByUC2rmagFtiH7BButyhzdf2Vzj8xPM2ZJx3fNEugH3d', 4.0]
['C6Kv8TGE47QaHRYrtDm6ZFrbrKkJfouhLDn78fEfhrPk', 4.0]
['VQ9H3Enaju1JsJpXESHHuzxsn8qtQUtWDSDWSrzmXzR', 4.0]
['9A4yWwVJCwLv1yEPyP35AQozo5JvWs4rsAVzGz2DEuKa', 3.0]
['DjVkPQwD1SSjk8tV7hYpCgQi4W67XzNMEGeyEsrtiTfV', 3.0]
['HEiSwRBLmD23L4p81aDpCSWmqfELswFsHcRsbViVMADB', 3.0]
['6rGWKX5SFbbJ3NpgUyUFfjRjkNc6YAYZKrvrLYDuwjhe', 3.0]
['E5fLdCMvUVDhbi4HM8jZC2pUCvvCeSEJYrDTeAnFeP5F', 3.0]
['CT29agQWBDG1SFpnNeAVum9dBh9c95oEVFWfdX7fkqWR', 3.0]
['BYBXFyx6dcDk9va8pF1XPZyJLv5M4hNzfADRdaKrJBfN', 3.0]
['GYeWp7T54Gbc3qjYs8u7SVKrZDFpREzhHE3YhoQjiqpk', 3.0]
['9fBeEc4AN61YSJT8oV2PRCsYjBn7LN8grpXPihArC7cF', 3.0]
['EFtKREYAFLTRhLSgCPirmmuoiKQgs2CNYbEBCjdgNwyh', 3.0]
['2pzNMddCM32tJs75ZPy6tfhuuE1h1vD5UDyooWDesZgJ', 3.0]
['ACmwPA6rcYyNPCrmqddURXVhui1Hd12QUfMJFcaDEwrv', 3.0]
['DRPeMowpMdNNLzmsq6TydXPiMUosLAgtcJGmxPAVDNYA', 3.0]
['GSHWyhWZvVMMukgu88DwxZ421w731kMqEZdcH6MAAAgs', 3.0]
['J7RuPWFjEJ7LxAEs7Qws2D4UQEZqxen7mKRS91r6zfPc', 3.0]
['ESZb6BDNqftFddcUAdWb9R1LN3B42d763MEd9KdCnsvf', 3.0]
['VtMwyqDHcjryFGvXBmT1DqW1GHy32NiR7zUi3gMRdtn', 2.0]
['FG6nYgdXEuP6FEqMx2WFfBMwU4nuhS9DE2JDy2pCyk1c', 2.0]
['H6yRmmDEwZRQLexsYREJQwTUJFymUvmAHp27exai9Jzo', 2.0]
['HvyeL9LmijGzUqYEusxPPCtQfbwjSuHPPnDCcdpjKtMR', 2.0]
['7gjbixuze2asAoq4rWgxAMNCVJ7BBX6xZPTrJ14B4vq1', 2.0]
['AxWR1eg8ui4Y8Wpn1zcFCe4264bN9A4c3UN1hzxNGmF8', 2.0]
['ELJacn8pKWwqXexVVd63vkSempYxkXvgF71Lvi3n7PUR', 2.0]
['8bJWZpCeRWtBpbATT1MRxDB91u9xYTSqG2PYWjCSAFqL', 2.0]
['2jJvwxhCkAeu8SK4gF5u2dmEMv7SuUCvaVKPx4BDnKCL', 2.0]
['56aH94VFLDuVyzfun5GN5j59Hnrc1aBdjVv5M896SvHr', 2.0]
['3HHAoXXSN3NY9i5d6dxhvb2FRbJhpDSg17pZ2vDWGubG', 2.0]
['9ef6yDRcWCGAi31ZFN746DNEK1jdFg1s4j2j8R1EXu6g', 2.0]
['4TaXYo9VgHUECwiJ5JgytafEBhNNP2LR1AVwnHR8oVGz', 2.0]
['6pHsyUbsr74MCuWaWZVY4HZj46dbzvoMpU4MndhVnCdY', 2.0]
['DonnieG5qp2DijJGXaEQWijbpXTTNEYigGzCojCPKKZW', 2.0]
['D2zyg1KPrFc4VGEcgdMqRSceFtXT4DohcagsnR9Uh1JP', 2.0]
['8EH97UXMYLuniKfNjrTE9ZPMhFbYaW8CBwkKu8RMk8qU', 2.0]
['5HyxVheYFarKJLqzavc2rUWEgdgMT2Sw99XhkamKcm7s', 2.0]
['8VEXtkQsJJN3kVjo7JMyf3Re38K3BoaYwFopxv6LSDRX', 2.0]
['CeW1eHvywYaBa8r7fw47Mn24gJc6Q4ahCagdCCPp71Gq', 2.0]
['8bxHLc67gLptLWt7adzzXeVhceHCLbG9CpRLN4PR4zPJ', 2.0]
['4hf3NNaFUqM2jhmhbxAwvhaPsdjFVuVr4GotmT1e6zJR', 2.0]
['vcoet91k1fJLBjpH6seZcUzUfZxyQfHEcXjm3bN1MpQ', 2.0]
['F7KGKSGQ4VQi8rCdXCCYAzPkXM5W5i9EymtA5saTpJnX', 2.0]
['DXVcDcLMJznrbdfLTyMaFmNKWKJTAggmDgRmqzCFqDS2', 2.0]
['29knig4qCLvbnQRzMt27FSYppjngcsqp3AdS15c2rLVC', 2.0]
['4Ge4gu8PVAE9Xm6AnS2pECieuU6MT7MWG6qy9iZQk9oY', 2.0]
['Byw9afAm4X866ECQpaW2j8n1cUhV6cHdR2qEbQ5MiUap', 1.0]
['BdCECcFVHgE4qxA9CWnwgVPJakW679H5KZqYcA5nXKZF', 1.0]
['86ZgZgVKC7QvAhUu6ak3CJqHtFCdNrV6dwQUNaJgExGZ', 1.0]
['HcuQ2iYmz9h4E9eBSWQqR3oeEjouLvzqv83eLAxo1mYx', 1.0]
['FL54r4g9cSDqMAd8dJ55nGKhUfPGVFTGjahitcuTAPg3', 1.0]
['GgzxwuskQk3GhpdWzVwwhem1hjKBVcXGA6Vd4q6bsCYw', 1.0]
['7AhdZtyV4FBZfNmjcKbnt9RbCatGmVa2HeotUU2i7Zgv', 1.0]
['4z8D2vPNuvt8gK22T8mvnpEPhSmiTpn9HZBF4Jw9YUq6', 1.0]
['9TJawVNxaGmXoe7WXZr8mMoX7NCwhWiT1m5GEGSL7zi7', 1.0]
['A2zh7yNUfT9Qn4A6S7jJ4DKnxfewnKdYZBsVpwXcowVW', 1.0]
['45ohKu9BZcM52ZLvWEAbNefw6eLKn5r6Y4rjHEzGTw75', 1.0]
['jUPtsuh6ZcB9n7BGrGJfWrnE6BCf1vL5rQKeU8mrJLp', 1.0]
['3TVjmemk9nq15RDwULsGcSN6feeGa8tXxTC9UZJU7qvu', 1.0]
['9jTWVS3nXR2exFcrQxSWQCzDV3YF2RkLXFVN3M3mQDKc', 1.0]
['7NKMENEGHUEo5Nzg2zBNgU3VEt3aPLqd6Nx6NcKs113g', 1.0]
['A3FUJAYn7y8xhULkGFQA5wcuwbxxDyn4GVf1nxXYDBe', 1.0]
['3kGSqyNTNQxwLoD11NNHQ1QjQ9XYVxgcNvpScjS8Zz6S', 1.0]
