2022-03-30 03:56:51
['59TzSJsWJos7rfK4rfmiAhqtNJTf3UrcxQ79ZMvXMW5w', 100.0]
['CaJowmbVxa8ChVZjxwDy7oGLk3UStQwmvXQF6YrbwRB3', 20.0]
['8Mw9MYkZ3oJm6TgjqKBUnq9H8J1SyT5mVTBuVA544JCc', 20.0]
['D6snbru1GcirBcEGsmCGXDi4D49Q5V4m2Nwowhop4MsN', 10.0]
['FC1hVcaMLkmFoAuTYWXfE8XV6x6oWtkivjsfmyo2rTjB', 6.0]
['4kXjE2vwF1vUuff2S2hJH4opFoHAhnSpY9GUN94xNvco', 5.0]
['DfLEEnLcnqkPQjQ5EfyTy7N4MLyswSceJe2MREoivUxk', 5.0]
['C1P9sxD3yN6CvP3LexnHvXbAxcaTqgooviJTMhSr6Avt', 5.0]
['6hiifiANJe3CLcvBYfEVVa97E48V2wKneSVXJbVdELav', 5.0]
['7shFXyCrYru6mmLqGADDQ3SENupn6MJZaf6jUuENsCqu', 5.0]
['DRyw6s1DZJRcSxHmWuvGbADcYYTLcmDMoSLkBoXwKpDk', 5.0]
['HaW1Mn3RndJTduDPJUULGui3WPkBsmHaDmvumfqZGExc', 5.0]
['51kzZdNYdvNccQcPyvQZL8jqPghj9yXjvQbGgxsCd8cP', 5.0]
['78eGt2PysGwU5ce7D6UHYDvqSg2YD3e5Yqtrh6vTW7aw', 5.0]
['6EQoJ3vLnfSmRnEuMCjE9cJKz9S7bB2UqHtbJWQBcqox', 5.0]
['KrissMPQgGFjNJMi1j4MJ9aeuD1REhFgFhJVRDUoKGR', 5.0]
['4G6YPhwrredaawFSa7KRX3JjktNZ8NwyUTATQpwE484g', 4.0]
['FeEmMVEjVirG9JWkiaNdCuwDGUVReUZQeyhF73tyTLoF', 4.0]
['ByUC2rmagFtiH7BButyhzdf2Vzj8xPM2ZJx3fNEugH3d', 4.0]
['C6Kv8TGE47QaHRYrtDm6ZFrbrKkJfouhLDn78fEfhrPk', 4.0]
['VQ9H3Enaju1JsJpXESHHuzxsn8qtQUtWDSDWSrzmXzR', 4.0]
['DEtuoJrVev176wSxRBcy2Aheigw7DSJgnNn1hPMJirSH', 3.0]
['4fam2aWQr8S9RhvPPPLkNVA3zz2unzxTAV3YBXg6FLu8', 3.0]
['3VBQJQyYF5E2TBgFhFSv8vahvuxHzXBmwEccFUc6Uymx', 3.0]
['726Qig9C7ahMDUYxuZVErq1sXTMN2vfjFTDxd6zSd81T', 3.0]
['FwmoBuwFiJbWBgmaaehWJmda3rTQJWT5qopkfi4Mo23u', 3.0]
['ULziFbNsqMjj9oowcEak321N6hjLaygXQ8jGh9cVmPD', 3.0]
['DBT1hLmCdwM9z5thDK5UvFDp77a12EdgVC4WmzKykcUo', 3.0]
['6baz74PVC97npp62PWGqe29joJmYscdSTMNxM5Phxk4Y', 3.0]
['HaTpC9GprZCkjoP7toiotukz4SqeXTLGakCy2KypJtW8', 3.0]
['J6ttZxdPbLVpVMPhpjTVMfcUVF6Y95fdxE4vHJ5SeEaM', 3.0]
['HRNz74t4a2EX4wzVEac6ByXfiAu8zDMzhVssFJL8t2Jp', 3.0]
['HEiSwRBLmD23L4p81aDpCSWmqfELswFsHcRsbViVMADB', 3.0]
['6rGWKX5SFbbJ3NpgUyUFfjRjkNc6YAYZKrvrLYDuwjhe', 3.0]
['E5fLdCMvUVDhbi4HM8jZC2pUCvvCeSEJYrDTeAnFeP5F', 3.0]
['CT29agQWBDG1SFpnNeAVum9dBh9c95oEVFWfdX7fkqWR', 3.0]
['BYBXFyx6dcDk9va8pF1XPZyJLv5M4hNzfADRdaKrJBfN', 3.0]
['GYeWp7T54Gbc3qjYs8u7SVKrZDFpREzhHE3YhoQjiqpk', 3.0]
['9fBeEc4AN61YSJT8oV2PRCsYjBn7LN8grpXPihArC7cF', 3.0]
['2pzNMddCM32tJs75ZPy6tfhuuE1h1vD5UDyooWDesZgJ', 3.0]
['ACmwPA6rcYyNPCrmqddURXVhui1Hd12QUfMJFcaDEwrv', 3.0]
['DRPeMowpMdNNLzmsq6TydXPiMUosLAgtcJGmxPAVDNYA', 3.0]
['GSHWyhWZvVMMukgu88DwxZ421w731kMqEZdcH6MAAAgs', 3.0]
['J7RuPWFjEJ7LxAEs7Qws2D4UQEZqxen7mKRS91r6zfPc', 3.0]
['ESZb6BDNqftFddcUAdWb9R1LN3B42d763MEd9KdCnsvf', 3.0]
['Ana7EmF3hnigwBVTwqXQXN87ET17V8poq8Z6VpEdpq3a', 2.0]
