2021-06-27 20:01:00
Total vote address: 487
Vote >= 2 USDC: 336 address
Top No.100 Vote: 2.21 USDC, Address: GKqX9waUeZBgwPW5nGiUeXc6B68wgy3mGeexGEDF8pL5
['WB9RzCP78sdeCbHPgYvhnitkHNaa1yrSmhUfA9uCuox', 17.0]
['2bGkb9favdDyc9A91bpsTvis4YphiVBv1HakfXZEsFEP', 15.0]
['42qMLNsw1dAapVvG2FLKADDWYUmWhGejSDxWSiJ9v5MM', 10.0]
['3VAV3Fu7QZoaoecvCsVS4trjKPHK2ZLfezvDp2uGe2s7', 10.0]
['BdSFTVtSkQ9BYBTBCgZUrswsbDHnLedS2dZFCY3TRuqw', 6.0]
['AgTx8x42LuDeADkJLYGMkp6u4p4wj8D8XHdNXwrFKS4B', 5.8999999999999995]
['HMpXh7fNieJ1wwbxnFXuVujFcWe3z9EdxP237drpFwwN', 5.0]
['2zko8iRZ2Z4aZFE6bhMFxbwokQzAtZMPiSzVHu4q2DpP', 5.0]
['GuaPPXV588hNW8s4oP3wovwGicrTpfwRH7qi7Kjdg5ET', 5.0]
['PVaXCvCb4MLjvQRR9FNxNvsNu8U8XsPxtMVz8YyWd8i', 5.0]
['96V3gi6LJNwycYR6arDzkAkChf89hxQCJCctqCTEWUkA', 5.0]
['gM2ykcN31y8HKsr8muBrnkVLk9ULo7vkRx1jniaYDjy', 5.0]
['6Xv4BGmnQdwaqyo4NDnffdQvkYiuGCa4WGQyXQ9EnERz', 5.0]
['77hZfWX86152SW4eEa5BSjQ9a2AvA8gMBQsesSrfauTW', 5.0]
['6tp2xDZFwegZo4J4uF8gYmmwVageAHYrkCXvGCGUgjeS', 5.0]
['224w3w8EENLXYsFuc7yB12pvMfg6XGrboARSRzegotbt', 5.0]
['FGBFnPzvtsYVqT61iwgzs2xFyARTNHtptduwwrsutuQm', 5.0]
['12zujmPx7XU4BJQDyVtXyj1rr2rRyJDVarkY9Cd2CxPC', 5.0]
['9aFCUyXq1qemK8jTd4eiSxgG269WdvjmTzcRHMmoYd4M', 5.0]
['B5HUT4gMie7QgRm4v7HvD4fAhMyHjXHtK9BSvtAdpirp', 5.0]
['2UX2AuwxACRUjxJvMfsjnJ9beKK8HXh3tghHx7LDqocH', 5.0]
['Fv7cAgpC5WRxY6sU4nCFcwRLuPcXZEWJ9FJfYfWs9cfF', 5.0]
['HCj5Yz3cRKGkg45boMJsLdstTHu6Jjq8TocgpUxyjY6M', 4.5]
['6aZT5FXQEfhXThEY4K9BFmfL9dfJWse479FuZFa2F5Wt', 4.5]
['5T58GjKJ6evV4UXKn7drd7EdeRTe1Nk95RQsupvngtie', 4.3]
['f4vSkcXHHxTmXDa6SsnFrkCah7KZxE7a76FZZyZPWvX', 4.0]
['J6pW96AkWNYTTBEQnp9PGDjBAwpNANoJvT7bk1zB3QjL', 4.0]
['EFbrWinb4YDyyFxEsDa9784KCdkjY1qAvFFFQFzz7jZB', 4.0]
['BHWYUjir4Bns7u1D7zTvaB1pcoyg5PtX86WmuecMVhVW', 4.0]
['CbJLZPNmDSdVbPBpDb6nAfNQdNZKm1dxPAeH3ERadNmm', 4.0]
['EH9dQ5AbzWH62QgDy5X7zdUTYYqEHgLJXTpjLVoBNbYY', 4.0]
['BjthTy71iFvaHWt5dYz9rZtLw78K117WU7odbDpNomdM', 4.0]
['3gtfAKNJ4dB5qAgQSDY9SB1MHys7PkWBzznxpsTWMb9e', 3.8]
['69jwgVJihYTFWzd6adF7iNkZwKWvnYW6RrRcTbdCuYHb', 3.5]
['7hz42HnwdxYTJF7bM6dxoyRMiGXG7p94betJe5ar25ue', 3.5]
['Ej9jQonFaFi4ca4pi9ap5bckLhZo5HKnbUFdGtWwJPXx', 3.5]
['61iGXZT6b1crZibN83pBGzbdHM2pxFt3G8mzVkE1sBjQ', 3.5]
['HpWzNeNjgfi3Fvb16HvdKLYzjh13GBDYvJZvrEoNt1Ro', 3.4]
['BSms4R16Ag3TjigDVgPuCvXj7ytx8WBT2Q1zTPpzrfhX', 3.3]
['9qxzCJiKNJL57rBsBUgx1mkPL121iyJRrf8RKiqjEbrx', 3.1999999999999997]
['GgZ8JqwKYcc6uh5nMGbHiFLWTy11JbLzpeaqj6Wb9GyQ', 3.1999999999999997]
['DS2DhqfHFuFfqvfhLSUG3QWroxGBaf7eNumrDfhieoUv', 3.177]
['EyixDvn1BFtBhCYJXYFCMX3Mf6ebUVePdqN6P2Nyt7P', 3.15]
['4L4K7kcikS8Mt43BaeUcW2S1BPe9iiKrcijTtftokwas', 3.0999999999999996]
['44Fky9qzHhPmEibagmJLApbmjrWFjWczmrrGSi7wu92p', 3.0999999999999996]
['FQ2zmoXP1pNB5SQGwhBN5ybwK2mSQgNBprPtNmWdRdSV', 3.0999999999999996]
['AHoBzUvNH176RWEaocgrR8pZaVK4CyfT2uEbkwStcZNe', 3.05]
['6MMKmah9VN4YHvyskTLevZTUJWqVUQK2CYFX2pLPJDmQ', 3.014]
['6kEKMdzfUfupbsVHKyESAhYjswosqvTYRmfTJQgEmFY9', 3.01]
['BJZSqbJUft1eufnDWcJx1YVgBSchvprUjNXaFe6JdtMY', 3.0]
['9EQj8s7VZWFH3cmM8GCw12WaPMst8Prf3JFpfFA8rWg2', 3.0]
['8aRWBaJosNAi3ML8XpNvF2KeNCvh7SC3ncYzSJ3prnVW', 3.0]
['2CXTNDbRJVuGNZgqxgnFjMH9wk7KTuvyrCcMZHfXKfFR', 3.0]
['44J2EJjJ7ZPCyBTCegEWk3mH1jHQJbTWvdmxgUra82Jf', 3.0]
['FYHjeSeePvzbtmG15zm7hNnzVnU4erYai2QjSjVGz77n', 3.0]
['BgeHFW2tZ1H9iUG3THe9NDAb2ZoYs95qJFSicDjyCRZj', 3.0]
['EPsGQFzu1dy1Yn41RuWsfFQpfN4NJFydjy4XX35s7Tto', 3.0]
['EEe3PPDWRtJ5FGWVh1YqJmZWqwJUdBSzPAh7YgdBkisB', 3.0]
['2y4AketSDTZuNo9GESycNzutxKz2S4zgdAE3dKNa8WyB', 3.0]
['5mQ4ZHgeR2fJDKFUGm7YNfy8mSYmzxDdZcDQaSNp9T6k', 3.0]
['AyF2uKYVUsAurr4DGZF4tnTseibKvvDPpCa2F4ekSbRf', 3.0]
['Au59EfQbiG6riF7zYFU3widayKfqYGyt5CRgfzmEdxMY', 3.0]
['CGjEexuki8tYteRxpEEq28ivbcsV8aFmhJS3RTZzM7vh', 3.0]
['AEm6J84mPoHwcJ86H3vM8ttHGjcPwPTAKfHMTJRh13Cf', 3.0]
['83UijXnB9SJypDgn6gCvDuaTxgHmdcp7Lsxn1uoFTHSN', 3.0]
['7zxk8QfdSg6pBtgqNeK2V2ixfDBmyifDTr1adrSNBKM3', 3.0]
['939AAWDfv2wTpR4qiSU59tyXYV12TrYr8jaxfaQWmydb', 3.0]
['GbkYegethjjLfSbK1oJYHZCd6xdK91cFEr1BbeRqiDKS', 3.0]
['3MsmkPefAd1zbtJtsrrR61pFLmXYGxr3d2BK8wt6QYzK', 3.0]
['9nShiyiANLfeuRDfTyX1whTrHR3opzL5Qxhgz3JdvYqE', 3.0]
['8oxHqtbLSKL6kvy8XhmwKemcDq8we5KsJAWi45c587gw', 3.0]
['FNc7f3ZmNNxSduGk6VRAYeUU91D73K2i3MmUfru6NcEP', 3.0]
['CP9DWvdRkY3WbUxWxF3Ko9QqGnwgAtSeYVQ7n3df5XCb', 3.0]
['D3aC25oSUw7jxPMTfHf2L44DRKsbZ3dFvA1j2BJ5HSC2', 3.0]
